Id;Freq_Int;SEX;age;HR
1L;36;M;adult;12,6
2L;55,9;F;adult;12,8
3L;17,7;M;senior;43,3
4L;15,9;F;senior;41,9
5L;0;I;adult;NA
6L;9,4;F;adult;48,1
7L;38;M;senior;12
8L;28,6;F;adult;27,4
9L;23,7;F;adult;11,6
10L;45,6;F;adult;14,3
11L;44,1;F;adult;11,4
12L;37,5;F;adult;7,3
13L;27;I;adult;34
14L;46,3;F;adult;10,2
15L;50;F;senior;11,2
16L;40,7;M;senior;11,5
17L;15,4;M;senior;45,7
18L;9,3;F;adult;38,6
19L;9,5;F;adult;42,4
20L;26,5;I;adult;42,1
21L;12,5;I;adult;38,4
22L;16,4;M;senior;43
23L;50;F;adult;16,9
24L;50,6;F;adult;8,2
25L;5,3;I;adult;40,1
26L;20,3;M;adult;42,1
27L;9,7;M;adult;44,4
28L;41,4;F;adult;17,4
29L;15,2;M;senior;14,7
30L;50;I;adult;10,2
31L;1,8;F;adult;28,6
32L;10,9;M;senior;37,5
33L;47,1;M;senior;19
34L;2,3;F;adult;34
35L;57,5;I;adult;16,1
36L;38,9;F;adult;NA
37L;22,7;M;adult;36,1
38L;19,1;M;adult;41,3
39L;8,8;F;adult;35,8
40L;30,7;F;adult;30,9
41L;10,6;M;adult;38,6
42L;6,5;F;adult;51,4
43L;8,5;M;senior;43,9
44L;0;I;adult;37,2
45L;18,2;M;senior;NA
46L;NA;M;adult;NA
47L;NA;M;adult;NA
48L;16,9;M;adult;42,3
49L;57,1;I;adult;9,3
50L;0;F;adult;41,9
51L;NA;F;adult;NA
52L;NA;F;adult;NA
